# Downloaded using SRA Run Selector (https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRP041736&go=go)
AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	cell_line	disease	disease_stage	population	sex	tissue	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study
60	SAMN02732046	sra	SRX534809	NPC_1	2014-05-08	7	4	SRR1274112	SRS603526	NPC_1	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 1			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02732055	sra	SRX534810	NPC_10	2014-05-08	5	3	SRR1274114	SRS603527	NPC_10	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 10			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732056	sra	SRX534811	NPC_11	2014-05-08	1200	836	SRR1274115	SRS603528	NPC_11	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 11			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732057	sra	SRX534812	NPC_12	2014-05-08	909	633	SRR1274117	SRS603529	NPC_12	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 12			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732058	sra	SRX534813	NPC_13	2014-05-08	1157	805	SRR1274119	SRS603530	NPC_13	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 13			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732059	sra	SRX534814	NPC_14	2014-05-08	995	693	SRR1274121	SRS603531	NPC_14	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 14			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02732060	sra	SRX534815	NPC_15	2014-05-08	6	3	SRR1274124	SRS603532	NPC_15	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 15			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02732047	sra	SRX534816	NPC_2	2014-05-08	6	3	SRR1274126	SRS603533	NPC_2	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 2			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02732048	sra	SRX534817	NPC_3	2014-05-08	6	3	SRR1274128	SRS603534	NPC_3	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 3			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732050	sra	SRX534819	NPC_5	2014-05-08	724	508	SRR1274131	SRS603536	NPC_5	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 5			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732051	sra	SRX534820	NPC_6	2014-05-08	880	616	SRR1274133	SRS603537	NPC_6	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 6			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732000	sra	SRX534779	Kera_19	2014-05-08	565	368	SRR1274147	SRS603496	Kera_19	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 19	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
50	SAMN02732000	sra	SRX534779	Kera_19	2014-05-08	5	3	SRR1274148	SRS603496	Kera_19	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 19	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732001	sra	SRX534781	Kera_20	2014-05-08	833	535	SRR1274151	SRS603498	Kera_20	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 20	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732002	sra	SRX534782	Kera_21	2014-05-08	768	493	SRR1274153	SRS603499	Kera_21	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 21	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732003	sra	SRX534783	Kera_22	2014-05-08	617	394	SRR1274155	SRS603500	Kera_22	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 22	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732004	sra	SRX534784	Kera_23	2014-05-08	410	267	SRR1274157	SRS603501	Kera_23	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 23	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732005	sra	SRX534785	Kera_24	2014-05-08	477	310	SRR1274159	SRS603502	Kera_24	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 24	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732006	sra	SRX534786	Kera_25	2014-05-08	515	333	SRR1274161	SRS603503	Kera_25	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 25	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
50	SAMN02732007	sra	SRX534787	Kera_26	2014-05-08	5	3	SRR1274164	SRS603504	Kera_26	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 26	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731786	sra	SRX534477	2338_1	2014-05-08	1566	1094	SRR1274192	SRS603194	2338_1	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 1	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731795	sra	SRX534478	2338_10	2014-05-08	1	1	SRR1274195	SRS603195	2338_10	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 10	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731797	sra	SRX534480	2338_12	2014-05-08	1519	1067	SRR1274198	SRS603197	2338_12	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 12	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731798	sra	SRX534481	2338_13	2014-05-08	1442	1015	SRR1274200	SRS603198	2338_13	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 13	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731799	sra	SRX534482	2338_14	2014-05-08	1	0	SRR1274203	SRS603199	2338_14	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 14	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731800	sra	SRX534483	2338_15	2014-05-08	1655	1160	SRR1274204	SRS603200	2338_15	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 15	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731801	sra	SRX534484	2338_16	2014-05-08	1453	1016	SRR1274206	SRS603201	2338_16	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 16	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731801	sra	SRX534484	2338_16	2014-05-08	2	1	SRR1274207	SRS603201	2338_16	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 16	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731802	sra	SRX534485	2338_17	2014-05-08	918	639	SRR1274208	SRS603202	2338_17	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 17	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731803	sra	SRX534486	2338_18	2014-05-08	2031	1424	SRR1274210	SRS603203	2338_18	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 18	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731804	sra	SRX534487	2338_19	2014-05-08	940	661	SRR1274212	SRS603204	2338_19	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 19	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731787	sra	SRX534488	2338_2	2014-05-08	1717	1200	SRR1274214	SRS603205	2338_2	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 2	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731805	sra	SRX534489	2338_20	2014-05-08	1	0	SRR1274217	SRS603206	2338_20	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 20	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731806	sra	SRX534490	2338_21	2014-05-08	2	1	SRR1274219	SRS603207	2338_21	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 21	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731807	sra	SRX534491	2338_22	2014-05-08	2	1	SRR1274221	SRS603208	2338_22	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 22	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731788	sra	SRX534492	2338_3	2014-05-08	1565	1092	SRR1274222	SRS603209	2338_3	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 3	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731789	sra	SRX534493	2338_4	2014-05-08	878	614	SRR1274224	SRS603210	2338_4	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 4	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731790	sra	SRX534494	2338_5	2014-05-08	1890	1315	SRR1274226	SRS603211	2338_5	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 5	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02731791	sra	SRX534495	2338_6	2014-05-08	1052	734	SRR1274228	SRS603212	2338_6	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 6	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
60	SAMN02731792	sra	SRX534496	2338_7	2014-05-08	2	1	SRR1274231	SRS603213	2338_7	61	ATCC	HCC1954 (ATCC® CRL-2338?)	TNM stage IIA, grade 3, ductal carcinoma	IIA, grade 3	2338 single cell of 7	female	mammary gland; breast/duct	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
